symptoms,label,disease
one fish has white hairy patch breathing faster than normal what diesase is this,3,Fungal diseases Saprolegniasis
water smells bad fish looks tired,5,Parasitic diseases
visible lice on fish please help water temperature changed abnormal swimming i noticed,5,Parasitic diseases
normal appetite since yesterday getting worse,4,Healthy Fish
weak movement inflamed red areas?,0,Bacterial Red disease
FISH LOOKS BLOATED AND WEAK SWOLLEN BELLY WEAK MOVEMENT AFTER WATER CHANGE IS IT SERIOUS,1,Bacterial diseases - Aeromoniasis
fungal growth on skin fish looks stressed fish looks tired ammonia may be high bleeding marks on skin not sure what happened,3,Fungal diseases Saprolegniasis
My fish has clamped fins abnormal swimming ammonia may be high skin looks reddish and damaged what disease this,5,Parasitic diseases
staying at bottom water temperature changed,1,Bacterial diseases - Aeromoniasis
one fish has scales sticking out bloated abdomen not eating properly oxygen level may be low brown gill color,1,Bacterial diseases - Aeromoniasis
in my aquarium tail turning white tail end looks dead filter was off for few hours started recently,6,Viral diseases White tail disease
in my aquarium hiding in corner color looks dull mold like growth on tail ammonia may be high,3,Fungal diseases Saprolegniasis
my fish has tail rot like white area weak movement oxygen level may be low...,6,Viral diseases White tail disease
color looks dull milky white tail pH may be unstable tail turning white what disease is this for 2 days scratching against rocks,6,Viral diseases White tail disease
since yesterday inflamed red areas only one fish affected,0,Bacterial Red disease
One fish has red wounds with swelling sometimes floating near surface breathing faster than normal other fish look normal,1,Bacterial diseases - Aeromoniasis
staying at bottom water is cloudy,1,Bacterial diseases - Aeromoniasis
is it serious slow swimming abnormal swimming white discoloration on tail parasites attached to skin fish keeps scratching,5,Parasitic diseases
fish showing tail turning white please help white tail tip,6,Viral diseases White tail disease
not eating properly not eating properly i noticed tank has algae other fish look normal stays near filter outlet fish looks bloated and weak,2,Bacterial gill disease
i noticed white cotton like growth whit cotton growth does not react much ammonia may be high please help,3,Fungal diseases Saprolegniasis
one fish has no visible wounds ammonia may be high is it serious,4,Healthy Fish
problem skin irritation tiny salt like dots slow swimming fish opens mouth repeatedly started recently,5,Parasitic diseases
"My fish active, eating well water smells bad other fish look normal",4,Healthy Fish
my fish has visible lice fish scratching against rocks tank was cleaned yesterday what disease this,5,Parasitic diseases
my fish has deep skin ulcers dropsy like swelling feed was changed recently other fish look normal,1,Bacterial diseases - Aeromoniasis
in my aquarium activ and eating well no swelling what disease this,4,Healthy Fish
scales sticking out slow swimming,1,Bacterial diseases - Aeromoniasis
fish showing cotton wool growth mold like growth on tail weak movement feed was changed recently it happens mostly at night,3,Fungal diseases Saprolegniasis
my fish has red wounds with swelling fish looks stressed less active than usual pH may be unstable red streaks around tail please help,1,Bacterial diseases - Aeromoniasis
color looks dull rapid gill movement swollen gills one fish has,2,Bacterial gill disease
TODAY I SAW FUNGAS ON BODY ABNORMAL SWIMMING WATER IS CLOUDY IS IT SERIOUS,3,Fungal diseases Saprolegniasis
Today i saw tiny salt like dots sometimes floating near surface breathing faster than normal ammonia may be high please help,5,Parasitic diseases
for 2 days bloody red spots staying at bottom staying at bottom water smells bad scratchng against rocks other fish look normal...,0,Bacterial Red disease
tail tissue damaged breathing faster than normal,6,Viral diseases White tail disease
Fluffy fungas near wound one fish has not eating properly fluid filled belly breathing faster than normal only one fish affected,1,Bacterial diseases - Aeromoniasis
for 2 days fish looks tired tail fin becoming pale started recently,6,Viral diseases White tail disease
in my aquarium fish keeps scratching visible lice fish sometimes floating near surface water temperature changed fish looks bloated and weak other fish look normal,5,Parasitic diseases
mold like growth on tail staying at bottom fish showing color looks dull fluffy fungus near wound getting worse,3,Fungal diseases Saprolegniasis
one fish has brown gill color rapid gill movement abnormal swimming fins are clamped it happens mostly at night,2,Bacterial gill disease
bright body color...,4,Healthy Fish
I NOTICED HEALTHY FINS EATS A LITTLE SLOW BUT NORMAL TANK HAS ALGAE,4,Healthy Fish
One fish has grey white fungus color looks dull tank has algae only one fish affected,3,Fungal diseases Saprolegniasis
in my aquarium milky white tail white patch starting from teil weak movement please help?,6,Viral diseases White tail disease
inflamed red areas loss of appetite,0,Bacterial Red disease
since yesterday visible lice on fish fish keeps scratching loss of appitite it happens mostly at night,5,Parasitic diseases
since yesterday white patch starting from tail tail tissue damaged fish looks tired fluffy fungus wound please help,6,Viral diseases White tail disease
fish keeps scratching fins are clamped,5,Parasitic diseases
weak movement fish showing other fish look normal skin looks reddish and damaged,0,Bacterial Red disease
clamped fins loss of appetite what disease this i noticed abnormal swimming parasites attached to skin,5,Parasitic diseases
fish showing clear eyes what disease is this,4,Healthy Fish
in my aquarium popeye fins are clamped started recently,1,Bacterial diseases - Aeromoniasis
my fish has scales sticking out fish looks bloated and weak less active than usual after water change only one fish affected,1,Bacterial diseases - Aeromoniasis
Red wounds with swelling swollen belly less active than usual i noticed other fish look normal,1,Bacterial diseases - Aeromoniasis
white tail tip tail tissue damaged staying at bottom water smells bad getting worse,6,Viral diseases White tail disease
Inflamed red areas color looks dull,0,Bacterial Red disease
today i saw tail fin becoming pale started recently...,6,Viral diseases White tail disease
slow swimming bloody red spots...,0,Bacterial Red disease
Fish showing clear eyes other fish look normal,4,Healthy Fish
fish showing stays near filter outlet mucus on gills sometimes floating near serface,2,Bacterial gill disease
MY FISH HAS BLEEDING MARKS ON SKIN LOSS OF APPETITE SLOW SWIMMING TANK WAS CLEANED YESTERDAY FUZZY WHITE PATCHES PLEASE HELP,0,Bacterial Red disease
clamped fins color looks dull,5,Parasitic diseases
"hiding in corner for 2 days blooddy red spots please help skin looks reddish, damaged gasping at water surface",0,Bacterial Red disease
fins are clamped since yesterday dropsy like swelling does not react much tail end looks dead it happens mostly at night new fish added recently,1,Bacterial diseases - Aeromoniasis
fish showing smooth scales only resting after feeding not sure what happened...,4,Healthy Fish
fish looks tired new fish added recently,3,Fungal diseases Saprolegniasis
ammonia may be high fins are clamped...,5,Parasitic diseases
TAIL END LOOKS DEAD COLOR LOOKS DULL FILTER WAS OFF FOR FEW HOURS STAYING AT BOTTOM GETTING WORSE I NOTICED,6,Viral diseases White tail disease
for 2 days breathing difficulty mucus on gills sometimes floating surface new fish added recently tail fin becoming pale getting worse,2,Bacterial gill disease
For 2 days clamped fins not eating properly tank was cleaned yesterday please help...,5,Parasitic diseases
cotton wool growth abnormal swimming,3,Fungal diseases Saprolegniasis
white spots on body loss of appetite,5,Parasitic diseases
ammonia may be high fish swimming normally only one fish affected,4,Healthy Fish
fish showing no visible wounds water smells bad is it serious,4,Healthy Fish
fish looks stressed water temperature changed,1,Bacterial diseases - Aeromoniasis
since yesterday tail end looks dead milky white tail fins are clamped loss of appitite feed was changed recently not sure what happened,6,Viral diseases White tail disease
problem is white hairy patch staying at bottom abnormal swimming is it serious?,3,Fungal diseases Saprolegniasis
is it serious fish looks stressed today i saw clamped fins,5,Parasitic diseases
since yesterday red ulcers on body staying at bottom water is cloudy white patch starting from tail getting worse,0,Bacterial Red disease
my fish has inflamed red areas skin looks reddish and damaged staying at bottom color looks dull bloated abdomen what disease is this...,0,Bacterial Red disease
for 2 days flashing behavior tiny salt like dots color looks dull not sure what happened,5,Parasitic diseases
taill rot like white area not eating properly,6,Viral diseases White tail disease
white patch starting from tail not sure what happened...,6,Viral diseases White tail disease
grey whit fungus does not react much...,3,Fungal diseases Saprolegniasis
tail end looks dead rubbing body tank wall one fish has after water change is it serious,5,Parasitic diseases
fish showing red sores fins red sores near fins not eating properly less active than usual tank was cleaned yesterday is it serious,0,Bacterial Red disease
today i saw does not react much visible lice on fish not sure what happened,5,Parasitic diseases
red wounds swelling oxygen level may be low swollen belly started recently staying at bottom hiding in corner problem is breathing difficulty,1,Bacterial diseases - Aeromoniasis
fish showing tail tissue damaged milky white tail please help color looks dull red wounds with swelling,6,Viral diseases White tail disease
Today i saw flashing behavior loss of appitite ammonia may be high is it serious?,5,Parasitic diseases
in my aquarium swollen belly staying at bottom hiding in corner water smells bad swollen gills started recently,1,Bacterial diseases - Aeromoniasis
brown gill color does not react much,2,Bacterial gill disease
hiding in corner for 2 days tank was cleaned yesterday what disese is this less active than usual white tail tip,6,Viral diseases White tail disease
WEAK MOVEMENT RED STREAKS AROUND TAIL,0,Bacterial Red disease
fish showing breathing difficulty stays near filter outlet fish looks tired hiding in corner skin looks reddish and damaged,2,Bacterial gill disease
Scratching against rocks only one fish affected fish was moved to new tank since yesterday flashing behavior breathing difficulty,5,Parasitic diseases
not eating properly ammonia may be high,6,Viral diseases White tail disease
since yesterday white mold on fins does not react much please help,3,Fungal diseases Saprolegniasis
tank was cleaned yesterday other fish look normal weak movement today i saw red wounds with swelling staying at bottom dropsy like swelling...,1,Bacterial diseases - Aeromoniasis
One fish fuzzy white patches fins are clamped sometimes floating near surface water is slightly dirty only one fish affected,3,Fungal diseases Saprolegniasis
in my aquarium scales sticking out weak movement breathing faster than normal swollen gills please help,1,Bacterial diseases - Aeromoniasis
weak movement oxygen level may be low,6,Viral diseases White tail disease
white patch starting from tail fish showing is it serious less active than usual,6,Viral diseases White tail disease
Rapid gill movement ammonia may be high red streaks around tail gills look damaged my fish has getting worse,2,Bacterial gill disease
started recently brown gill color scratching against rocks in my aquarium sometimes floating near surface rubbing body on tank wall,5,Parasitic diseases
for 2 days scratching against rocks clamped fins fish looks tired water is slightly dirty,5,Parasitic diseases
I NOTICED NO VISIBLE WOUNDS IT HAPPENS MOSTLY AT NIGHT,4,Healthy Fish
for 2 days grey white fungus mold growth on tail fish looks tired other fish look normal,3,Fungal diseases Saprolegniasis
i noticed getting worse dropsy like swelling hiding in corner popeye,1,Bacterial diseases - Aeromoniasis
For 2 days popeye dropsy like swelling getting worse...,1,Bacterial diseases - Aeromoniasis
i noticed inflamed red areas bleeding marks on skin fish looks tired sometimes floating near surface not sure what happened,0,Bacterial Red disease
since yesterday gills look damaged color looks dull staying at bottom please help,2,Bacterial gill disease
taill rot like wite area fish looks tired,6,Viral diseases White tail disease
mucus on gills fish showing slow swimming not sure what happened fish opens mouth repeatedly,2,Bacterial gill disease
i noticed healthy fins not sure what happened,4,Healthy Fish
IN MY AQUARIUM BLEEDING MARKS ON SKIN DOES NOT REACT MUCH FISH LOOKS TIRED IT HAPPENS MOSTLY AT NIGHT,0,Bacterial Red disease
mold like growth on tail white hairy patch loss of appitite is it serious,3,Fungal diseases Saprolegniasis
I NOTICED GILLS LOOK DAMAGED BROWN GILL COLOR WEAK MOVEMENT OXYGEN LEVEL MAY BE LOW TAIL TURNING WHITE OTHER FISH LOOK NORMAL,2,Bacterial gill disease
slow swimming does not react much for 2 days parasites attached to skin other fish look normal,5,Parasitic diseases
i noticed scales sticking out dropsy like swelling staying at bottom please help...,1,Bacterial diseases - Aeromoniasis
my fish has inflamed red areas breathing faster than normal it happens mostly at night,0,Bacterial Red disease
RED WOUNDS ON BELLY SINCE YESTERDAY BRETHING FASTER THAN NORMAL FISH LOOKS STRESSED PLEASE HELP SCALES STICKING OUT WATER SMELLS BAD BLEEDING MARKS ON SKIN?,0,Bacterial Red disease
Tail fin becoming pale abnormal swimming,6,Viral diseases White tail disease
slow swimming tiny salt like dots since yesterday only one fish affected pH may be unstable,5,Parasitic diseases
since yesterday tail rot like white area milky white tail does not react much weak movement body ulcers please help,6,Viral diseases White tail disease
tiny salt dots fish looks stressed,5,Parasitic diseases
Started recently water is cloudy mold like growth on tail for 2 days loss of appetite...?,3,Fungal diseases Saprolegniasis
FISH LOOKS TIRED WEAK SWIMMING WITH WHITE TAIL,6,Viral diseases White tail disease
Today i saw white taill tip weak swimming with white tail breathing faster than normal oxygen level may be low red sores near fins it happens mostly at night,6,Viral diseases White tail disease
in my aquarium fish opens mouth repeatedly stays near filter outlet abnormal swimming less active than usual started recently...,2,Bacterial gill disease
for 2 days fungus on body cotton wool growth color looks dull sometimes floating near surface water is slightly dirty visible lice on fish started recently,3,Fungal diseases Saprolegniasis
in my aquarium red wounds with swelling fish looks tired loss of appetite tank was cleaned yesterday started recently?,1,Bacterial diseases - Aeromoniasis
Less active than usual cotton wool growth,3,Fungal diseases Saprolegniasis
Since yesterday white discoloration on tail white tail tip not eating properly other fish look normal,6,Viral diseases White tail disease
filter was off for few hours staying at bottom,1,Bacterial diseases - Aeromoniasis
today i saw bright body color no fungus please help...,4,Healthy Fish
Is it serious water is slightly dirty in my aquarium gasping at water surface breathing difficulty,2,Bacterial gill disease
problem is fluid filled belly less aktive than usual mold like growth on teil only one fish affected...,1,Bacterial diseases - Aeromoniasis
i noticed red streaks around taill red wounds on belly fish looks tired breathing faster than normal getting worse,0,Bacterial Red disease
red sores near fins weak movement,0,Bacterial Red disease
red ulcers on body blody red spots sometimes floating near surfac less active than usual water is cloudy tail turning white only one fish affected...,0,Bacterial Red disease
not eating properly feed was changed recently,3,Fungal diseases Saprolegniasis
in my aquarium white spots on body staying at bottom loss of appetite oxygen level may be low started recently,5,Parasitic diseases
tank has algae fish looks stressed is it serious mold like growth tail fungal growth on skin today i saw staying at bottom?,3,Fungal diseases Saprolegniasis
I NOTICED RED SORES NEAR FINS LOSS OF APPETITE FISH LOOKS STRESSED NEW FISH ADDED RECENTLY FLASHING BEHAVIOR PLEASE HELP,0,Bacterial Red disease
for 2 days rubbing body on tank wall fish keeps scratchng color looks dull hiding in corner water temperature changed other fish look normal?,5,Parasitic diseases
PROBLEM IS BLOODY RED SPOTS PH MAY BE UNSTABLE GETTING WORSE,0,Bacterial Red disease
For 2 days gills look damaged brown gill color does not react much sometimes floating near surface red streaks around teil?,2,Bacterial gill disease
Swollen gills gills look damaged loss of apetite fish was moved to new tank,2,Bacterial gill disease
in my aquarium parasites attached to skin fish looks stressed fish looks stressed new fish added recently other fish look normal...,5,Parasitic diseases
today i saw grey white fungus new fish added recently only one fish affected,3,Fungal diseases Saprolegniasis
white patch starting from tail in my aquarium fish looks tired tail fin becoming pale tank has algae not sure what happened,6,Viral diseases White tail disease
staying at bottom white cotton growth,3,Fungal diseases Saprolegniasis
gasping at water surface swollen gills weak movement loss of appetite it happens mostly at night,2,Bacterial gill disease
Since yesterday tail end looks dead milky wite tail not eating properly loss of appetite ph may be unstable it happens mostly at night,6,Viral diseases White tail disease
fish looks stressed water temperature changed,2,Bacterial gill disease
OTHER FISH LOOK NORMAL FLASHING BEHAVIOR FUNGAL GROWTH ON SKIN GREY WITE FUNGUS FISH LOOKS TIRED FISH SHOWING,3,Fungal diseases Saprolegniasis
water temperature changed clamped fins please help parasites attached to skin since yesterday fish opens mouth repeatedly,5,Parasitic diseases
not eating properly red streaks around tail,0,Bacterial Red disease
FOR 2 DAYS WATER IS CLOUDY STARTED RECENTLY NOT EATING PROPERLY DEEP SKIN ULCERS SCRATCHING AGAINST ROCKS STAYING AT BOTTOM,5,Parasitic diseases
i noticed red streaks around teil abnormal swimming what disease is this,0,Bacterial Red disease
i noticed smooth scales only resting after feeding not sure what happened,4,Healthy Fish
fish showing fluffy fungus near wound white cotton like growth slow swimming filter was off for few hours not sure what happened,3,Fungal diseases Saprolegniasis
in my aquarium tail fin becoming pale tail fin becoming pale sometimes floating near surface pH may be unstable inflamed red areas other fish look normal,6,Viral diseases White tail disease
IT HAPPENS MOSTLY AT NIGHT SWOLLEN BELLY FISH SHOWING FLUID FILLED BELLY LESS ACTIVE THAN USUAL,1,Bacterial diseases - Aeromoniasis
one fish has pale gils fins are clamped pH may be unstable other fish look normal,2,Bacterial gill disease
fish looks stressed fish showing brown gill color started recently brown gill color,2,Bacterial gill disease
one fish has bright body color no white spots started recently,4,Healthy Fish
since yesterday bloody red spots red sores near fins sometimes floating near surface it happens mostly at night,0,Bacterial Red disease
Tail fin becoming pale not eating properly...,6,Viral diseases White tail disease
staying at bottom only one fish affected small blood marks on scales breathing faster than normal bloody red spots...,0,Bacterial Red disease
small blood marks on scales breathing faster than normal...,0,Bacterial Red disease
problem is weak swimming with white tail milky white tail slow swimming not eating properly tank was cleaned yesterday fish keeps scratching what disease is this?,6,Viral diseases White tail disease
"fish showing bloated abdomen fish looks bloated, weak fins are clamped feed was changed recently bleeding marks on skin",1,Bacterial diseases - Aeromoniasis
gills look damaged not sure what happened,2,Bacterial gill disease
one fish has rubbing body on tank wall fish looks stressed less active than usual it happens mostly at night,5,Parasitic diseases
"Today i saw taill rot like white area tail fin becoming pale abnormal swimming fins are clamped skin looks reddish, damaged not sure what happened",6,Viral diseases White tail disease
started recently since yesterday tiny salt like dots...,5,Parasitic diseases
MY FISH HAS FISH OPENS MOUTH REPEATEDLY PALE GILLS LESS ACTIV THAN USUAL BRETHING FASTER THAN NORMAL DEEP SKIN ULCERS IS IT SERIOUS...?,2,Bacterial gill disease
for 2 days small blood marks on scales red streaks around tail is it serious,0,Bacterial Red disease
"swollen belly fish looks bloated, weak it serious",1,Bacterial diseases - Aeromoniasis
my fish has water smells bad clamped fins weak swimming with white tail slow swimming rubbing body on tank wall,5,Parasitic diseases
for 2 days rubbing body on tank wall less active than usual white spots on body other fish look normal loss of appetite,5,Parasitic diseases
no visible wounds,4,Healthy Fish
fish looks stressed after water change,1,Bacterial diseases - Aeromoniasis
"today i saw skin looks reddish, damaged staying at bottom not eating properly not sure what happened",0,Bacterial Red disease
today i saw taill fin becoming pale less active than usual hiding in corner started recently,6,Viral diseases White tail disease
bright body color,4,Healthy Fish
for 2 days fluid filled belly tank has algae is it serious?,1,Bacterial diseases - Aeromoniasis
other fish look normal fluid filled belly slow swimming fins are clamped problem is fluid filled belly,1,Bacterial diseases - Aeromoniasis
fuzzy white patches fins are clamped filter was off for few hours please help,3,Fungal diseases Saprolegniasis
AKTIVE AND EATING WELL,4,Healthy Fish
please help bleeding marks on skin feed was changed recently breathing faster than normal breathing faster than normal red wounds belly one fish...?,0,Bacterial Red disease
fungal growth on skin not sure what happened less active than usual...,3,Fungal diseases Saprolegniasis
one fish has scratching against rocks rubbing body on tank wall feed was changed recently it happens mostly at night,5,Parasitic diseases
Brown gill color fins are clamped?,2,Bacterial gill disease
TINY SALT LIKE DOTS TINY SALT LIKE DOTS NOT EATING PROPERLY WEAK MOVEMENT AFTER WATER CHANGE DROPSY LIKE SWELLING ONLY ONE FISH AFFECTED,5,Parasitic diseases
one fish has not eating properly milky white tail other fish look normal weak swimming with white tail,6,Viral diseases White tail disease
my fish has red wounds with swelling red wounds with swelling sometimes floating near serface not eating properly oxygen level may be low please help?,1,Bacterial diseases - Aeromoniasis
fish keeps scratching slow swimming,5,Parasitic diseases
I noticed red wounds on belly red sores near fins fish opens mouth repeatedly,0,Bacterial Red disease
In my aquarium white hairy patch less active than usual fish looks tired fish was moved to new tank what disease is this...,3,Fungal diseases Saprolegniasis
i noticed fungal growth on skin fungus on body less active than usual water is cloudy it happens mostly at night,3,Fungal diseases Saprolegniasis
I noticed stays near filter outlet brown gill color breathing faster than normal not sure what happened,2,Bacterial gill disease
normal breathing started recently fish showing no red spots,4,Healthy Fish
fish showing fungal growth on skin coton wool growth hiding in corner tank was cleaned yesterday please help,3,Fungal diseases Saprolegniasis
please help deep skin ulcers inflamed red areas red wounds with swelling weak movement i noticed ammonia may be high,1,Bacterial diseases - Aeromoniasis
For 2 days white spots on body skin irritation breathin faster than normal getting worse...?,5,Parasitic diseases
hiding in corner tail turning white only one fish affected breathin difficulty?,6,Viral diseases White tail disease
normal appetite...,4,Healthy Fish
staying at bottom fungus on body fish showing rapid gill movement what disease is this,3,Fungal diseases Saprolegniasis
body ulcers staying at bottom feed was changed recently,1,Bacterial diseases - Aeromoniasis
Loss of appitite tank was cleaned yesterday,1,Bacterial diseases - Aeromoniasis
my fish has white mold on fins white hairy patch less active than usual scales sticking out it happens mostly at night...,3,Fungal diseases Saprolegniasis
what disease is this sometimes floating near surface water is slightly dirty tail fin becoming pale mucus on gills tail turning white,6,Viral diseases White tail disease
clear eyes,4,Healthy Fish
mold like growth on tail not eating properly red patches on body please help,3,Fungal diseases Saprolegniasis
dropsy like swelling not eating properly...,1,Bacterial diseases - Aeromoniasis
color looks dull fish looks tired started recently mold like growth on tail my fish has,3,Fungal diseases Saprolegniasis
LOSS OF APPETITE RED SORES NEAR FINS ABNORMAL SWIMMING RED SORES NEAR FINS OTHER FISH LOOK NORMAL,0,Bacterial Red disease
in my aquarium stays near filter outlet gills look damaged loss of appetite water temperature changed started recently?,2,Bacterial gill disease
fish showing popeye not eating properly only one fish affected,1,Bacterial diseases - Aeromoniasis
FOR 2 DAYS TAIL FIN BECOMING PALE TAIL END LOOKS DEAD BREATHING FASTER THAN NORMAL WATER TEMPERATURE CHANGED STARTED RECENTLY,6,Viral diseases White tail disease
body ulcers fish looks stressed,1,Bacterial diseases - Aeromoniasis
stays near filter outlet pale gils color looks dull slow swimming filter was off for few hours started recently,2,Bacterial gill disease
fish showing white tail tip fish looks stressed started recently,6,Viral diseases White tail disease
for 2 days active and eating well water cloudy not sure what happened,4,Healthy Fish
problem is tail tissue damaged tail rot like white area does not react much not sure what happened,6,Viral diseases White tail disease
I NOTICED FUNGAL GROWTH ON SKIN FUNGAL GROWTH ON SKIN WEAK MOVEMENT OXYGEN LEVEL MAY BE LOW WHITE TAIL TIP STARTED RECENTLY?,3,Fungal diseases Saprolegniasis
problem is normal breathing filter was off for few hours other fish look normal,4,Healthy Fish
one fish has healthy fins no white spots not sure what happened,4,Healthy Fish
ABNORMAL SWIMMING FISH SHOWING SWOLLEN BELLY BREATHING FASTER THAN NORMAL NOT SURE WHAT HAPPENED,1,Bacterial diseases - Aeromoniasis
FOR 2 DAYS MUCUS ON GILLS COLOR LOOKS DULL FEED WAS CHANGED RECENTLY ONLY ONE FISH AFFECTED,2,Bacterial gill disease
normal appetite,4,Healthy Fish
fish showing tail fin becoming pale white discoloration on tail water is slightly dirty please help,6,Viral diseases White tail disease
since yesterday brown gill color does not react much staying at bottom it happens mostly at night,2,Bacterial gill disease
i noticed tiny salt like dots fish looks stressed feed was changed recently coton wool growth what disese is this,5,Parasitic diseases
not eating properly slow swimming breathing difficulty gasping at water surface one fish has water is slightly dirty,2,Bacterial gill disease
staying at bottom tank was cleaned yesterday,1,Bacterial diseases - Aeromoniasis
my fish has tail rot like whit area tail end looks dead weak movement mucus on gills not sure what happened,6,Viral diseases White tail disease
problem is pale gills loss of appetite please help,2,Bacterial gill disease
one fish has fungal growth on skin white hairy patch loss of appetite water is cloudy it happens mostly at night,3,Fungal diseases Saprolegniasis
"i noticed active, eating well swims fine most of time getting worse",4,Healthy Fish
i noticed tail rot like white area slow swimming does not react much not sure what happened?,6,Viral diseases White tail disease
normal breathing getting worse fish showing?,4,Healthy Fish
Fish looks stressed is it serious filter was off for few hours fish showing fish keeps scratching,5,Parasitic diseases
for 2 days normal appetite getting worse?,4,Healthy Fish
fungus on body hiding in corner,3,Fungal diseases Saprolegniasis
swollen gills less active than usual does not react much water is cloudy rubbing body on tank wall other fish look normal,2,Bacterial gill disease
visible lice on fish fins are clamped,5,Parasitic diseases
one fish has normal breathing no fungus not sure what happened,4,Healthy Fish
problem is no visible wounds it happens mostly at night?,4,Healthy Fish
Fish looks healthy...,4,Healthy Fish
tank algae sometimes floating surface,5,Parasitic diseases
white mold on fins color looks dull fuzzy white patches only one fish affected tank was cleaned yesterday breathing faster than normal my fish has,3,Fungal diseases Saprolegniasis
hiding in corner tank was cleaned yesterday,3,Fungal diseases Saprolegniasis
one fish has visible lice fish breathing faster than normal pH may be unstable please help,5,Parasitic diseases
slow swimming pH may be unstable,6,Viral diseases White tail disease
tiny salt like dots color looks dull,5,Parasitic diseases
abnormal swimming tail end looks dead,6,Viral diseases White tail disease
SOMETIMES FLOATING NEAR SURFACE GILLS LOOK DAMAGED,2,Bacterial gill disease
dropsy like swelling after water change only one fish affected my fish has,1,Bacterial diseases - Aeromoniasis
fluid filled belly fish looks stressed,1,Bacterial diseases - Aeromoniasis
i noticed brown gill color less active than usual please help,2,Bacterial gill disease
fish showing swollen belly body ulcers weak movement is it serious,1,Bacterial diseases - Aeromoniasis
not eating properly started recently for 2 days brown gill color,2,Bacterial gill disease
skin irritation hiding in corner?,5,Parasitic diseases
loss of appetite bloated abdomen,1,Bacterial diseases - Aeromoniasis
FISH SHOWING DEEP SKIN ULCERS FLUID FILLED BELLY HIDING IN CORNER FISH LOOKS TIRED PH MAY BE UNSTABLE ONLY ONE FISH AFFECTED,1,Bacterial diseases - Aeromoniasis
in my aquarium swollen gills swollen gills less active than usual not sure what happened...,2,Bacterial gill disease
my fish has brown gill color slow swimming fish was moved to new tank it happens mostly at night,2,Bacterial gill disease
RED PATCHES BODY STAYING AT BOTTOM...,0,Bacterial Red disease
today i saw clamped fins fish keeps scratching weak movement does not react much what disease is this,5,Parasitic diseases
FOR 2 DAYS CLEAR EYES IS IT SERIOUS...,4,Healthy Fish
one fish has red streaks around tail red wounds on belly sometimes floating near surface not sure what happened,0,Bacterial Red disease
fish showing after water change breathing difficulty color looks dull color looks dull what disease is this,2,Bacterial gill disease
today i saw clear eyes no white spots,4,Healthy Fish
GASPING AT WATER SURFACE ABNORMAL SWIMMING IN MY AQUARIUM ONLY ONE FISH AFFECTED,2,Bacterial gill disease
FISH SHOWING WHITE DISCOLORATION ON TAIL TAIL END LOOKS DEAD LESS ACTIVE THAN USUAL WHAT DISEASE IS THIS,6,Viral diseases White tail disease
today i saw breathing difficulty pale gills loss of appetite is it serious,2,Bacterial gill disease
i noticed bloated abdomen breathing faster than normal water smells bad only one fish affected,1,Bacterial diseases - Aeromoniasis
fish looks healthy,4,Healthy Fish
today i saw stays near filter outlet swollen gills weak movement slow swimming ammonia may be high is it serious,2,Bacterial gill disease
Fish looks tired fluid filled belly,1,Bacterial diseases - Aeromoniasis
in my aquarium mucus on gills mucus on gills color looks dull does not react much feed was changed recently what disease this,2,Bacterial gill disease
no visible wounds,4,Healthy Fish
my fish has healthy fins only one fish affected,4,Healthy Fish
For 2 days stays near filter outlet hiding in corner white mold on fins,2,Bacterial gill disease
fungal growth on skin only one fish affected new fish added recently fungal growth on skin,3,Fungal diseases Saprolegniasis
FOR 2 DAYS RED PATCHES ON BODY SKIN LOOKS REDDISH AND DAMAGED LOSS OF APPETITE WATER IS SLIGHTLY DIRTY RAPID GILL MOVEMENT IT HAPPENS MOSTLY AT NIGHT,0,Bacterial Red disease
fish keeps scratching fish looks tired,5,Parasitic diseases
slow swimming oxygen level may be low,2,Bacterial gill disease
smooth scales fish was moved to new tank i noticed,4,Healthy Fish
for 2 days fish looks bloated and weak sometimes floating near surface new fish added recently it happens mostly at night,1,Bacterial diseases - Aeromoniasis
my fish has fluid filled belly red wounds swelling sometimes floating near surface fish looks tired pH may be unstable getting worse...,1,Bacterial diseases - Aeromoniasis
problem is bleeding marks on skin bleeding marks on skin fins are clamped tank was cleaned yesterday only one fish affected,0,Bacterial Red disease
i noticed swollen belly fluid filled belly fish looks stressed is it serious,1,Bacterial diseases - Aeromoniasis
in my aquarium no visible wounds tank was cleaned yesterday what disease this,4,Healthy Fish
today i saw tank was cleaned yesterday clear eyes not sure what happened no white spots,4,Healthy Fish
i noticed gills look damaged pale gills slow swimming sometimes floating near surface pH may be unstable red sores near fins what disease is this,2,Bacterial gill disease
fish showing only one fish affected white patch starting from tail weak swimming with wite teil fluffy fungus near wound does not react much,6,Viral diseases White tail disease
my fish has gills look damaged gills look damaged fins are clamped please help...?,2,Bacterial gill disease
is it serious red wounds swelling pH may be unstable cotton wool growth in my aquarium loss of appetite,3,Fungal diseases Saprolegniasis
less active than usual tank has algae,0,Bacterial Red disease
fuzzy white patches fish looks tired breathing faster than normal other fish look normal,3,Fungal diseases Saprolegniasis
one fish has inflamed red areas red ulcers on body loss of appetite it happens mostly at night,0,Bacterial Red disease
fish showing visible lice on fish fish looks tired oxygen level may be low other fish look normal,5,Parasitic diseases
color looks dull abnormal swimming white spots on body rubbing body on tank wall what disease is this?,5,Parasitic diseases
